timestep,Earth x,Earth y,Earth z,Moon x,Moon y,Moon z
49900.0,46458.839609450966,2303.6094024164363,0.0,358890426.1676426,53881766.02674196,0.0
50000.0,46644.40755020584,2317.4631848306694,0.0,358872813.63297707,53988651.143244155,0.0
50100.0,46830.34371049323,2331.3723668346065,0.0,358855166.1500373,54095531.00168728,0.0
50200.0,47016.648077247155,2345.3370588808452,0.0,358837483.7200634,54202405.59158812,0.0
50300.0,47203.320637375225,2359.357371421204,0.0,358819766.344298,54309274.9024635,0.0
50400.0,47390.361377758665,2373.4334149067195,0.0,358802014.0239863,54416138.923830375,0.0
50500.0,47577.7702852523,2387.5652997876455,0.0,358784226.7603758,54522997.64520572,0.0
50600.0,47765.54734668455,2401.753136513451,0.0,358766404.5547167,54629851.05610663,0.0
50700.0,47953.69254885744,2415.9970355328173,0.0,358748547.40826166,54736699.14605023,0.0
50800.0,48142.2058785466,2430.2971072936375,0.0,358730655.32226574,54843541.904553756,0.0
50900.0,48331.08732250124,2444.653462243014,0.0,358712728.2979867,54950379.32113451,0.0
51000.0,48520.33686744417,2459.0662108272572,0.0,358694766.3366846,55057211.38530985,0.0
51100.0,48709.95450007181,2473.5354634918835,0.0,358676769.43962216,55164038.08659724,0.0
51200.0,48899.940207054155,2488.061330681613,0.0,358658737.60806453,55270859.4145142,0.0
51300.0,49090.29397503478,2502.643922840368,0.0,358640670.8432794,55377675.358578324,0.0
51400.0,49281.01579063087,2517.2833504112714,0.0,358622569.146537,55484485.90830729,0.0
51500.0,49472.10564043318,2531.979723836645,0.0,358604432.51910996,55591291.05321886,0.0
51600.0,49663.56351100607,2546.7331535580065,0.0,358586260.9622735,55698090.78283084,0.0
51700.0,49855.38938888746,2561.5437500160697,0.0,358568054.4773053,55804885.08666116,0.0
51800.0,50047.583260588865,2576.4116236507407,0.0,358549813.0654856,55911673.95422778,0.0
51900.0,50240.145112595375,2591.3368849011167,0.0,358531536.7280971,56018457.37504878,0.0
52000.0,50433.07493136566,2606.3196442054855,0.0,358513225.466425,56125235.33864227,0.0
52100.0,50626.372703331974,2621.3600120013216,0.0,358494879.2817571,56232007.83452648,0.0
52200.0,50820.03841490013,2636.4580987252857,0.0,358476498.1753836,56338774.852219686,0.0
52300.0,51014.072052449534,2651.614014813222,0.0,358458082.1485973,56445536.38124026,0.0
52400.0,51208.47360233314,2666.8278707001577,0.0,358439631.2026934,56552292.41110665,0.0
52500.0,51403.2430508775,2682.0997768202997,0.0,358421145.3389697,56659042.93133738,0.0
52600.0,51598.38038438271,2697.429843607033,0.0,358402624.5587265,56765787.93145104,0.0
52700.0,51793.88558912245,2712.8181814929203,0.0,358384068.8632666,56872527.40096631,0.0
52800.0,51989.75865134395,2728.2649009096986,0.0,358365478.2538952,56979261.329401955,0.0
52900.0,52185.99955726802,2743.7701122882777,0.0,358346852.73192024,57085989.706276804,0.0
53000.0,52382.60829308901,2759.3339260587386,0.0,358328192.29865193,57192712.52110977,0.0
53100.0,52579.58484497486,2774.956452650332,0.0,358309496.9554031,57299429.763419844,0.0
53200.0,52776.92919906704,2790.637802491475,0.0,358290766.7034891,57406141.4227261,0.0
53300.0,52974.641341480594,2806.3780860097518,0.0,358272001.54422784,57512847.48854769,0.0
53400.0,53172.72125830411,2822.177413631909,0.0,358253201.47893953,57619547.95040384,0.0
53500.0,53371.16893559974,2838.035895783856,0.0,358234366.50894713,57726242.79781386,0.0
53600.0,53569.98435940318,2853.953642890662,0.0,358215496.635576,57832932.02029715,0.0
53700.0,53769.167515723675,2869.9307653765545,0.0,358196591.86015403,57939615.60737316,0.0
53800.0,53968.71839054403,2885.967373664917,0.0,358177652.1840116,58046293.548561454,0.0
53900.0,54168.63696982059,2902.063578178288,0.0,358158677.6084816,58152965.83338165,0.0
54000.0,54368.923239483236,2918.2194893383585,0.0,358139668.1348995,58259632.45135347,0.0
54100.0,54569.5771854354,2934.43521756597,0.0,358120623.7646032,58366293.3919967,0.0
54200.0,54770.59879355406,2950.7108732811134,0.0,358101544.4989331,58472948.6448312,0.0
54300.0,54971.98804968973,2967.0465669029268,0.0,358082430.33923215,58579598.19937694,0.0
54400.0,55173.74493966646,2983.4424088496926,0.0,358063281.28684586,58686242.045153946,0.0
54500.0,55375.86944928183,2999.898509538838,0.0,358044097.3431222,58792880.17168233,0.0
54600.0,55578.36156430697,3016.4149793869306,0.0,358024878.50941163,58899512.56848229,0.0
54700.0,55781.22127048653,3032.991928809678,0.0,358005624.7870672,59006139.225074105,0.0
54800.0,55984.4485535387,3049.6294682219263,0.0,357986336.1774443,59112760.13097813,0.0
54900.0,56188.04339915519,3066.3277080376565,0.0,357967012.68190104,59219375.275714815,0.0
